cw,dh,ibh,se,kd,st,tuw,tauc,mn,Qp,Tp,Bw,Bd,Tc,Bwbc,Bwac,Bdbc,Bdac
1.830045638,1.220821826,0.3691609152,0.9476081173,138.1229112,25359.1996,18.29937805,0.08451834676,0.02241900385,2.8,360,9.751,1.221,216,1.21,1.466,0.634,1.221
1.88184111,1.237224107,0.292212667,0.8913221036,137.5705638,24292.59239,19.1304687,0.02018617092,0.02513210039,2.67,360,9.751,1.237,252,1.509,1.743,0.85,1.237
1.962879709,1.295675606,0.297370863,0.9761743378,198.9192178,27624.54422,19.88924363,0.1031212034,0.02396248973,3.18,288,9.751,1.295,180,1.551,1.905,0.835,1.295
2.044044388,1.354039077,0.2619549919,0.8802858237,153.6299175,28940.65178,19.32534396,0.07439748431,0.02578024947,2.72,360,10.168,1.353,252,1.527,1.783,0.866,1.353
1.883776399,1.280993341,0.254509863,0.9405726274,114.22306,27919.64304,19.7292294,0.1462643508,0.02810061359,2.61,360,9.751,1.28,216,1.234,1.442,0.844,1.28
2.035922125,1.303861906,0.2904726369,0.9303906411,161.1779544,25524.69996,18.10212484,0.1268245986,0.01718574974,2.86,324,9.86,1.304,216,1.5,1.777,0.908,1.304
2.046769342,1.27834232,0.3572633404,0.972700606,77.84499739,25753.18967,17.78294255,0.03626175412,0.02662761257,2.57,5148,9.751,1.277,360,1.326,1.469,0.646,1.277
2.03009325,1.342869607,0.2799360104,0.9275144009,105.5788625,27178.35778,19.6605953,0.1503386546,0.02862633235,2.57,396,10.086,1.343,252,1.216,1.411,0.908,1.343
1.995819153,1.331663848,0.3339170206,0.9216239564,120.3228197,23475.51595,17.37875218,0.142786186,0.02752817836,2.75,396,9.985,1.332,360,1.844,2.045,0.753,1.332
1.892867137,1.345458197,0.3410270321,0.8723411814,58.85837211,26762.78891,19.35645326,0.1281926457,0.01946547202,2.58,5328,9.967,1.344,612,1.625,1.728,0.768,1.344
2.171669771,1.325470241,0.2938852064,0.9334085831,196.103094,24831.21053,18.43594831,0.11326803,0.02493151717,3.07,288,10.125,1.325,216,1.625,1.96,0.975,1.325
2.021234128,1.296658399,0.3455233515,0.9340792352,133.10958,23077.23851,18.94393584,0.1540889221,0.02252834828,2.83,360,9.802,1.295,324,1.838,2.063,0.783,1.295
2.026445463,1.282433533,0.2442450218,0.8863386804,98.65553272,26203.70193,18.26407123,0.1214171467,0.02636657603,2.56,4248,9.751,1.282,288,1.362,1.533,0.869,1.282
2.109341893,1.316787408,0.3110783073,0.9016433657,157.9618333,26315.96618,19.81899793,0.1223391891,0.03091855392,2.77,360,10.01,1.317,216,1.289,1.57,0.808,1.317
1.951964293,1.23088305,0.225791778,0.9621422313,193.7570909,26397.51903,18.19024136,0.06959093364,0.02952166852,3.07,252,9.751,1.231,144,1.314,1.661,0.902,1.231
1.903790059,1.357832874,0.3634036429,0.9496181264,108.6569739,23999.60013,20.20869786,0.08816280248,0.02594733093,2.68,396,10.049,1.356,252,1.167,1.375,0.927,1.356
2.128693157,1.23820673,0.3299228489,0.8986446013,102.923443,24959.35035,18.69791413,0.09159194729,0.02446377314,2.55,5328,9.751,1.237,252,1.119,1.308,0.905,1.237
1.986080459,1.33043723,0.2808111693,0.9938678256,112.1939638,25898.88202,18.91013082,0.07685214997,0.02203752032,2.74,360,9.97,1.329,216,1.253,1.466,0.878,1.329
2.035708389,1.258049292,0.2742571359,0.8977826637,151.6596163,27999.56403,18.12886166,0.1233130734,0.0209809923,2.75,324,9.751,1.258,288,1.868,2.112,0.866,1.258
1.92224346,1.305890984,0.2458602802,0.9239965588,37.2449664,25122.65515,17.98093128,0.1248496095,0.02020762473,2.59,5292,9.757,1.305,648,1.448,1.512,0.792,1.305
1.947026168,1.242441247,0.3607319332,0.9194566729,248.9119496,25473.8557,18.67068647,0.1398902711,0.02141710649,3.25,288,9.751,1.242,180,1.533,1.966,1,1.242
1.991823917,1.287122632,0.3733691715,0.8764719037,126.1541364,29445.85877,18.51321158,0.07832525509,0.02038343774,2.69,432,9.751,1.286,360,1.807,2.018,0.75,1.286
1.956008376,1.337981834,0.353103474,0.9195972288,46.8698317,26339.83355,18.81080755,0.04203846713,0.02679667092,2.58,5328,9.985,1.338,648,1.545,1.625,0.826,1.338
2.141822027,1.249979249,0.3273965519,0.9672014152,181.5675055,23542.09764,18.88440709,0.09774245608,0.0258861462,3.03,288,9.751,1.25,144,1.109,1.448,0.902,1.25
1.976854555,1.334140958,0.3038387927,0.9000584642,124.9779875,28775.64208,18.46351311,0.1324639591,0.02375206273,2.69,396,9.982,1.334,288,1.484,1.704,0.847,1.334
1.867325038,1.261499752,0.2511531735,0.9349864389,86.30256596,25674.32282,18.61604513,0.09012206309,0.02832841028,2.56,4428,9.751,1.262,324,1.356,1.509,0.61,1.262
1.902159142,1.300225893,0.2748605648,0.8599621625,144.4319083,27138.52417,17.82477474,0.1422709244,0.02366316462,2.63,360,9.751,1.3,252,1.417,1.661,0.841,1.3
2.079939799,1.294182394,0.2992843266,0.9548881074,129.5677884,22182.51966,19.27539432,0.1278874056,0.02558105409,2.72,360,9.845,1.294,180,1.085,1.326,0.863,1.294
2.015135634,1.386575032,0.3240021971,0.8776970998,83.89763621,25743.41045,17.71227392,0.007050443615,0.02649519994,2.57,4824,10.336,1.387,324,1.161,1.314,0.863,1.387
1.999697381,1.310279202,0.3057449197,0.9081651646,187.8792762,25285.4645,18.71763217,0.1182624464,0.02929935254,2.94,324,9.86,1.31,180,1.222,1.551,0.872,1.31
1.877801063,1.276289609,0.2609616579,0.893768725,72.04708104,28674.23407,18.24471942,0.05239262941,0.02761626129,2.57,5328,9.751,1.276,324,1.228,1.359,0.835,1.276
2.019748862,1.360849151,0.27272179,0.9295859758,143.2932833,26544.31902,18.48505321,0.1002637151,0.02432730867,2.79,360,10.183,1.359,216,1.295,1.548,0.881,1.359
1.850453163,1.315445275,0.3169724185,0.9627612656,160.6126782,24697.98145,18.39783239,0.05706710526,0.0305100375,2.99,324,9.751,1.315,252,1.798,2.076,0.936,1.315
1.986750635,1.326640478,0.2062577151,0.9426514074,94.25053521,23724.66138,18.15840886,0.1379377614,0.02406647445,2.56,4428,9.946,1.326,324,1.478,1.637,0.604,1.326
2.09172189,1.351229769,0.2660876165,0.9513900046,63.46019309,27710.85917,19.10767552,0.07959868417,0.03120209919,2.58,5328,10.199,1.35,468,1.579,1.686,0.786,1.35
1.915725575,1.29907844,0.3213903149,0.912324142,212.0482934,23254.42557,19.00267099,0.1157593467,0.02542294391,3.04,288,9.751,1.298,144,0.978,1.359,0.826,1.298
2.056123771,1.227703351,0.2503772594,0.8871415292,172.2841111,25563.254,19.43837848,0.0943176411,0.02971023259,2.75,324,9.751,1.228,216,1.582,1.862,0.89,1.228
2.113422966,1.291005528,0.3670915804,0.9268588433,146.239994,24147.63952,19.22035033,0.1170478742,0.02419180652,2.83,360,9.86,1.291,252,1.344,1.6,0.622,1.291
1.859127422,1.241495768,0.3230771179,0.8476220445,121.2400114,25053.0369,19.02914821,0.09490443869,0.01885234784,2.55,5328,9.751,1.241,324,1.423,1.622,0.576,1.241
1.975327311,1.271828527,0.3088801275,0.9252688446,64.32765992,27314.49987,18.41686681,0.1297436106,0.02994242434,2.58,5328,9.751,1.271,432,1.356,1.469,0.628,1.271
1.944700759,1.320460625,0.2965064851,0.8947480368,118.6613841,25614.47192,17.99892963,0.1114921979,0.02474339089,2.64,396,9.866,1.32,324,1.631,1.832,0.835,1.32
1.912339998,1.247827936,0.3125233433,0.895386541,217.5035472,23811.52817,18.02534621,0.1315754334,0.02489346662,3.01,288,9.751,1.247,144,0.997,1.387,0.826,1.247
2.024647238,1.28790228,0.2214219575,0.8792407056,55.5879474,26837.88669,18.95326104,0.1437256213,0.02548266536,2.58,5328,9.751,1.288,396,1.247,1.344,0.841,1.288
2.031936138,1.332273059,0.2914335862,0.870767491,171.8010812,26458.14985,18.86206763,0.03135538105,0.0239057373,2.8,360,10.025,1.332,216,1.253,1.551,0.814,1.332
1.908833892,1.283154719,0.3184119458,0.9415185655,156.8972883,27513.72159,18.3689052,0.06339990346,0.01765806027,2.91,324,9.751,1.283,252,1.722,1.99,0.917,1.283
1.862789975,1.29043055,0.3062955638,0.8838299481,227.8073979,27868.21727,19.74286019,0.1258265763,0.02767089373,3.01,288,9.751,1.289,180,1.393,1.78,0.783,1.289
2.007489989,1.341317527,0.2830821356,0.9185666774,214.5283145,25035.63677,19.32748131,0.08701728938,0.02334232063,3.1,324,10.055,1.341,216,1.57,1.737,0.567,1.341
1.948656805,1.255454054,0.3043594646,0.8813923459,110.8637603,27065.01858,19.00884379,0.1477416658,0.03154185081,2.55,432,9.751,1.255,288,1.35,1.545,0.823,1.255
2.120384719,1.245055929,0.2847165262,0.9876012702,89.35731278,26743.79272,18.64176483,0.1372032589,0.01954540985,2.57,396,9.751,1.244,252,1.247,1.417,0.927,1.244
1.934420954,1.292190471,0.2329443034,0.8887780138,164.6322903,25977.16276,18.60425271,0.1042361488,0.02263810722,2.69,324,9.751,1.292,180,1.271,1.551,0.86,1.292
1.924516973,1.312430483,0.3291607102,0.8464577004,118.1191579,26900.50691,19.42705628,0.1187253366,0.03015834642,2.57,432,9.799,1.312,324,1.457,1.661,0.817,1.312
1.915532451,1.297298148,0.24786089,0.957690067,110.4516892,26016.8155,18.7846525,0.06894799145,0.02878853467,2.62,360,9.751,1.297,216,1.253,1.454,0.896,1.297
1.997070318,1.323186783,0.3354284416,0.8845354942,189.9893613,24567.70033,17.88771371,0.1059407132,0.02788531847,2.92,360,9.936,1.323,252,1.564,1.875,0.585,1.323
1.818886035,1.344958942,0.3432186146,0.907319817,167.4107566,23632.3836,18.5283819,0.1099008058,0.02885039341,2.9,360,9.888,1.344,288,1.743,2.015,0.585,1.344
1.928050651,1.285992127,0.3150451683,0.9062981235,74.38576065,24404.95344,17.53859416,0.1150576929,0.02329072969,2.57,5328,9.751,1.286,468,1.661,1.783,0.789,1.286
1.989583349,1.214315117,0.3159693835,0.8560591799,141.3364213,28223.45388,18.56243831,0.09353459483,0.02047800712,2.64,396,9.751,1.213,288,1.454,1.564,0.558,1.213
2.074533298,1.335539655,0.234889033,0.9387727427,185.6133258,25307.64993,19.82440058,0.04432208369,0.02285138749,2.97,288,10.089,1.335,180,1.442,1.765,0.786,1.335
2.102375807,1.232812209,0.2986055203,0.8725613634,135.3259965,25865.89152,18.34947513,0.02887081907,0.03226966413,2.64,396,9.751,1.231,252,1.356,1.594,0.844,1.231
2.014644332,1.37883939,0.2877377232,0.9281239129,219.9689446,28088.44188,18.62687575,0.1571626745,0.02606749311,3.15,324,10.287,1.378,252,1.948,2.295,0.576,1.378
1.936605009,1.307743824,0.359509512,0.8968958835,96.3718141,27560.22915,18.91621556,0.1384516119,0.02090969596,2.57,504,9.784,1.308,396,1.484,1.649,0.61,1.308
1.96861092,1.266806431,0.3513734719,0.9011570329,140.0382527,23959.37008,19.57949655,0.1411186512,0.02610466601,2.76,396,9.751,1.267,288,1.478,1.713,0.591,1.267
2.073039207,1.289362014,0.2952674967,0.9213292285,164.0475914,25820.18889,19.28842544,0.1445420874,0.02709096166,2.84,324,9.808,1.289,216,1.5,1.783,0.908,1.289
2.001174609,1.26519116,0.3009460211,0.9651865401,134.0671299,26285.9215,19.15234363,0.08123518031,0.02944105109,2.78,324,9.751,1.265,180,1.146,1.399,0.893,1.265
1.897894601,1.272371014,0.3473806853,0.8898286213,81.84194155,24905.5258,19.39275182,0.07154039766,0.02349308107,2.57,4284,9.751,1.271,324,1.164,1.32,0.841,1.271
2.012438006,1.367832875,0.2403557803,0.8640898881,43.71373244,23348.04358,20.35791598,0.02625414188,0.01987317173,2.58,5292,10.22,1.368,540,1.308,1.387,0.875,1.368
2.005174305,1.314397076,0.2816636687,0.9032965324,147.0039007,24471.51816,18.06701347,0.1022601085,0.0270197902,2.77,360,9.891,1.314,252,1.515,1.765,0.881,1.314
1.994077054,1.302270756,0.2937460761,0.9465724033,116.3632005,27024.33547,19.54402166,0.0671048678,0.02729065226,2.71,360,9.808,1.301,288,1.588,1.792,0.856,1.301
1.918588277,1.323945098,0.267914189,0.9813429679,176.9383504,27765.47088,19.52631005,0.1401521507,0.0235366474,3.06,288,9.863,1.323,216,1.603,1.896,0.597,1.323
2.040446769,1.306721034,0.3440795034,0.8330905712,90.93979654,25150.92331,19.67277997,0.1089696745,0.02568602029,2.56,4284,9.882,1.307,396,1.417,1.576,0.869,1.307
2.069764577,1.275001122,0.2588723182,0.9046630955,103.5317293,25414.53813,17.93334882,0.1526422406,0.02156161932,2.55,5328,9.751,1.274,252,1.247,1.43,0.799,1.274
1.930462497,1.279668567,0.2304203875,0.9131935458,67.78436667,22677.66208,18.97147126,0.1236598602,0.0245900946,2.58,5328,9.751,1.28,360,1.35,1.472,0.838,1.28
2.098213262,1.263849587,0.2856532035,0.9153457086,127.6088146,29167.95701,18.21915282,0.03923150158,0.02428772006,2.61,360,9.751,1.264,180,1.033,1.265,0.823,1.264
2.057484788,1.369506499,0.3209175258,0.8504179528,87.21782581,26906.43003,19.24432417,0.1455169059,0.02656675823,2.57,4860,10.275,1.369,396,1.396,1.548,0.866,1.369
1.823047653,1.380214729,0.2667119432,0.9093367363,190.9596356,27382.98268,17.85355092,0.1312413649,0.02627152743,2.91,324,17.678,1.38,180,1.277,1.609,0.924,1.38
2.061679157,1.363433803,0.3251870317,0.9598580598,203.8686784,28372.16279,17.6393676,0.06464510857,0.02216562908,3.22,324,12.802,1.362,252,1.868,2.198,0.597,1.362
1.970502556,1.338603148,0.2549005952,0.8688765491,201.2070375,25658.22443,19.61473429,0.06219260733,0.02128264531,2.87,324,10.004,1.338,216,1.576,1.905,0.917,1.338
2.064689446,1.274750785,0.3322893287,0.8922731017,131.5392837,25235.86893,19.93072315,0.05401131665,0.02188754671,2.66,396,9.751,1.274,288,1.43,1.649,0.594,1.274
1.807270733,1.32838096,0.25770158,0.9382753564,207.7245912,24231.26581,18.74351092,0.1139152247,0.02794425455,3.08,252,9.778,1.328,180,1.57,1.923,0.808,1.328
2.082918385,1.313435841,0.3024452598,0.9168308867,226.1799876,27228.7744,18.79833793,0.1333697674,0.02001187473,3.11,288,9.964,1.313,144,1.049,1.451,0.841,1.313
1.978250981,1.321330612,0.2643601056,0.8578490983,182.6673671,28503.27442,19.08683791,0.04904445201,0.02070582206,2.72,324,9.906,1.321,180,1.149,1.457,0.856,1.321
1.972510955,1.301916931,0.3788728177,0.8751149256,150.2592043,26141.98084,18.67966199,0.112103563,0.02268572674,2.78,396,9.784,1.301,324,1.689,1.932,0.576,1.301
1.98369959,1.309352434,0.2196543141,0.8386745158,233.2205577,22931.59994,19.20920464,0.1347564718,0.02229647652,2.82,288,27.127,1.309,180,1.423,1.795,0.759,1.309
2.05070265,1.349517049,0.3922991152,0.904167362,179.4667487,28579.39084,19.08003879,0.1349474625,0.02719544798,2.99,360,10.147,1.35,288,1.753,2.051,0.591,1.35
1.83785443,1.298492567,0.2705693413,0.944335994,115.1806409,26222.18665,20.13526455,0.08228082917,0.0245686024,2.66,360,9.751,1.298,252,1.42,1.625,0.853,1.298
1.939065004,1.259149386,0.2381331377,0.9090899808,168.5672586,26477.90623,18.76072971,0.1083226999,0.01913256744,2.81,324,9.751,1.259,216,1.603,1.887,0.893,1.259
2.009585168,1.284505486,0.3821740533,0.9780783808,101.4941447,24364.6133,18.85267306,0.1067702734,0.02178203957,2.73,396,9.751,1.283,360,1.74,1.917,0.881,1.283
1.960316334,1.261666911,0.2865228757,0.9371519972,53.24475545,26112.29997,20.02658834,0.1288965509,0.01843495181,2.58,5292,9.751,1.262,540,1.558,1.649,0.762,1.262
1.981464742,1.268333206,0.3318668637,0.9226980994,122.8424439,27456.20666,19.49183825,0.07414853984,0.02842591761,2.72,396,9.751,1.268,288,1.375,1.582,0.594,1.268
1.872067561,1.35736369,0.3508531803,0.9146627508,123.7240207,24816.95303,18.57282533,0.1202208352,0.02527746041,2.79,396,10.016,1.356,360,1.807,2.015,0.765,1.356
1.95398832,1.210309703,0.3101360954,0.8635500328,255.1572697,26044.27874,19.46723371,0.1008960206,0.02481791101,3.02,288,9.751,1.21,144,1.094,1.533,0.762,1.21
1.843496516,1.2536234,0.3193995302,0.9517637988,80.15295963,29238.29134,18.53331413,0.1469184379,0.02506221582,2.57,5112,9.751,1.253,324,1.247,1.393,0.634,1.253
1.96486201,1.311620559,0.3128561641,0.9689698979,154.86643,26977.23849,19.97744393,0.09854866108,0.01849574751,2.9,324,9.836,1.311,180,1.253,1.536,0.96,1.311
2.087979229,1.270097638,0.3014612097,0.8526921535,129.8919755,24748.01332,18.16814581,0.08402345271,0.0290094902,2.61,432,9.751,1.27,288,1.408,1.631,0.832,1.27
2.049549293,1.319563232,0.2894365471,0.9108382282,241.3861528,26664.3373,17.62508585,0.06053214131,0.02310987598,3.18,288,9.967,1.32,180,1.533,1.948,0.942,1.32
1.888270687,1.375092574,0.3384849741,0.9548327719,175.041256,24611.51421,19.18435375,0.05478699866,0.02518009831,3.15,324,10.138,1.375,288,2.085,2.374,0.826,1.375
1.967469071,1.304913514,0.3372509537,0.8671405242,106.7076012,26630.96704,18.82849184,0.1496400441,0.02292435251,2.59,468,9.796,1.305,360,1.521,1.707,0.823,1.305
2.137043793,1.318416744,0.2786888315,0.9119702283,69.94184931,25933.33528,19.05903649,0.1362338656,0.02120506478,2.58,5148,10.046,1.318,504,1.704,1.82,0.777,1.318
1.942011882,1.348911656,0.2767621134,0.8421179142,93.66267985,24055.02505,18.37589895,0.08894543947,0.02301976518,2.56,4464,10.037,1.349,360,1.369,1.53,0.866,1.349
1.895754591,1.293100048,0.2714901877,0.9165432558,148.7281666,26588.6876,18.7352554,0.04674418664,0.01778875322,2.77,324,9.751,1.292,252,1.661,1.911,0.881,1.292
1.956749513,1.252417435,0.307672456,0.9320342835,99.7135173,28127.02422,18.32209581,0.09712244985,0.02684538347,2.58,396,9.751,1.252,288,1.387,1.567,0.832,1.252
